SURA,AYACOUNT,VersSUM,AYASUM,WORDSSUM,LETTERSSUM
1.0,7,28.0,28.0,29.0,139.0
2.0,286,43043.0,41041.0,6116.0,25900.0
3.0,200,78700.0,20100.0,3481.0,14762.0
4.0,176,102344.0,15576.0,3745.0,16085.0
5.0,120,87540.0,7260.0,2803.0,12032.0
6.0,165,143880.0,13695.0,3049.0,12571.0
7.0,206,217845.0,21321.0,3320.0,14245.0
8.0,75,89850.0,2850.0,1233.0,5349.0
9.0,129,167700.0,8385.0,2497.0,10954.0
10.0,109,154671.0,5995.0,1832.0,7521.0
11.0,123,188805.0,7626.0,1917.0,7726.0
12.0,111,183372.0,6216.0,1776.0,7203.0
13.0,43,74347.0,946.0,854.0,3500.0
14.0,52,92378.0,1378.0,829.0,3497.0
15.0,99,183348.0,4950.0,653.0,2829.0
16.0,128,251584.0,8256.0,1844.0,7723.0
17.0,111,231435.0,6216.0,1556.0,6565.0
18.0,110,241505.0,6105.0,1579.0,6488.0
19.0,98,225351.0,4851.0,961.0,3868.0
20.0,135,326160.0,9180.0,1335.0,5338.0
21.0,112,284424.0,6328.0,1169.0,4980.0
22.0,78,205491.0,3081.0,1274.0,5237.0
23.0,118,322435.0,7021.0,1050.0,4399.0
24.0,64,180704.0,2080.0,1316.0,5664.0
25.0,77,222838.0,3003.0,893.0,3825.0
26.0,227,691442.0,25878.0,1318.0,5573.0
27.0,93,298158.0,4371.0,1150.0,4747.0
28.0,88,290092.0,3916.0,1430.0,5861.0
29.0,69,232875.0,2415.0,976.0,4256.0
30.0,60,206370.0,1830.0,817.0,3434.0
31.0,34,118541.0,595.0,546.0,2134.0
32.0,30,105555.0,465.0,372.0,1542.0
33.0,73,260610.0,2701.0,1287.0,5675.0
34.0,54,196209.0,1485.0,883.0,3549.0
35.0,45,165735.0,1035.0,775.0,3184.0
36.0,83,311001.0,3486.0,724.0,3020.0
37.0,182,706069.0,16653.0,858.0,3828.0
38.0,88,353276.0,3916.0,732.0,3018.0
39.0,75,307200.0,2850.0,1172.0,4786.0
40.0,85,354960.0,3655.0,1218.0,5041.0
41.0,54,229257.0,1485.0,794.0,3336.0
42.0,53,227847.0,1431.0,860.0,3471.0
43.0,89,388930.0,4005.0,830.0,3553.0
44.0,59,262196.0,1770.0,346.0,1455.0
45.0,37,166204.0,703.0,488.0,2050.0
46.0,35,158480.0,630.0,643.0,2627.0
47.0,38,173451.0,741.0,539.0,2389.0
48.0,29,133342.0,435.0,560.0,2479.0
49.0,18,83187.0,171.0,347.0,1508.0
50.0,45,209385.0,1035.0,373.0,1488.0
51.0,60,282330.0,1830.0,360.0,1523.0
52.0,49,233240.0,1225.0,312.0,1305.0
53.0,62,298561.0,1953.0,360.0,1422.0
54.0,55,268070.0,1540.0,342.0,1461.0
55.0,78,385359.0,3081.0,351.0,1657.0
56.0,96,482640.0,4656.0,379.0,1719.0
57.0,29,147610.0,435.0,572.0,2505.0
58.0,22,112541.0,253.0,472.0,2011.0
59.0,24,123324.0,300.0,445.0,1931.0
60.0,13,67041.0,91.0,348.0,1542.0
61.0,14,72387.0,105.0,221.0,945.0
62.0,11,57013.0,66.0,175.0,755.0
63.0,11,57134.0,66.0,180.0,787.0
64.0,18,93753.0,171.0,241.0,1072.0
65.0,12,62682.0,78.0,287.0,1184.0
66.0,12,62826.0,78.0,249.0,1074.0
67.0,30,157695.0,465.0,333.0,1330.0
68.0,52,275470.0,1378.0,299.0,1264.0
69.0,52,278174.0,1378.0,258.0,1113.0
70.0,44,237490.0,990.0,217.0,951.0
71.0,28,152138.0,406.0,225.0,953.0
72.0,28,152922.0,406.0,285.0,1096.0
73.0,20,109710.0,210.0,199.0,850.0
74.0,56,309316.0,1596.0,254.0,1024.0
75.0,40,222860.0,820.0,164.0,668.0
76.0,31,173817.0,496.0,243.0,1078.0
77.0,50,282375.0,1275.0,181.0,821.0
78.0,40,227700.0,820.0,173.0,778.0
79.0,46,263833.0,1081.0,179.0,772.0
80.0,42,242739.0,903.0,133.0,546.0
81.0,29,168635.0,435.0,104.0,431.0
82.0,19,110941.0,190.0,80.0,329.0
83.0,36,211194.0,666.0,169.0,744.0
84.0,25,147425.0,325.0,106.0,440.0
85.0,22,130251.0,253.0,109.0,463.0
86.0,17,100980.0,153.0,61.0,252.0
87.0,19,113202.0,190.0,72.0,296.0
88.0,26,155493.0,351.0,92.0,380.0
89.0,30,180255.0,465.0,137.0,575.0
90.0,20,120670.0,210.0,82.0,338.0
91.0,15,90765.0,120.0,54.0,250.0
92.0,21,127449.0,231.0,71.0,314.0
93.0,11,66935.0,66.0,40.0,166.0
94.0,8,48756.0,36.0,27.0,102.0
95.0,8,48820.0,36.0,34.0,157.0
96.0,19,116204.0,190.0,72.0,285.0
97.0,5,30640.0,15.0,30.0,112.0
98.0,8,49076.0,36.0,94.0,397.0
99.0,8,49140.0,36.0,35.0,156.0
100.0,11,67672.0,66.0,40.0,164.0
101.0,11,67793.0,66.0,36.0,158.0
102.0,8,49380.0,36.0,28.0,123.0
103.0,3,18534.0,6.0,14.0,71.0
104.0,9,55656.0,45.0,33.0,134.0
105.0,5,30955.0,15.0,23.0,96.0
106.0,4,24782.0,10.0,17.0,75.0
107.0,7,43407.0,28.0,25.0,114.0
108.0,3,18618.0,6.0,10.0,42.0
109.0,6,37263.0,21.0,26.0,95.0
110.0,3,18645.0,6.0,19.0,80.0
111.0,5,31095.0,15.0,23.0,81.0
112.0,4,24894.0,10.0,15.0,47.0
113.0,5,31140.0,15.0,23.0,71.0
114.0,6,37401.0,21.0,20.0,80.0
